journal,year,command,num_datasets
PSRM,2016,svy:probit,1
PSRM,2016,svy:regress,1
PSRM,2016,tobit,1
PSRM,2016,var,1
PSRM,2016,xtabond,1
PSRM,2016,xtgls,1
PSRM,2016,xtlogit,4
PSRM,2016,xtmelogit,1
PSRM,2016,xtpcse,3
PSRM,2016,xtprobit,2
PSRM,2016,xtreg,5
PSRM,2016,xtregar,2
PSRM,2016,xttobit,1
PSRM,2016,zinb,1
PSRM,2017,clogit,1
PSRM,2017,estsimp,2
PSRM,2017,gllamm,1
PSRM,2017,logit,5
PSRM,2017,meologit,1
PSRM,2017,mlogit,3
PSRM,2017,ologit,2
PSRM,2017,oprobit,1
PSRM,2017,probit,3
PSRM,2017,rc_spline,1
PSRM,2017,reg3,1
PSRM,2017,regress,7
PSRM,2017,relogit,1
PSRM,2017,spreg,1
PSRM,2017,sureg,1
PSRM,2017,tobit,2
PSRM,2017,xtgls,1
PSRM,2017,xtmixed,2
PSRM,2017,xtologit,1
PSRM,2017,xtpcse,2
PSRM,2017,xtreg,2
PSRM,2017,xtregar,1
PSRM,2018,anova,1
PSRM,2018,betareg,1
PSRM,2018,firthlogit,1
PSRM,2018,gologit2,1
PSRM,2018,ivreg2,1
PSRM,2018,ivregress,1
PSRM,2018,logit,6
PSRM,2018,mlogit,2
PSRM,2018,ologit,1
PSRM,2018,probit,1
PSRM,2018,regress,6
PSRM,2018,stcox,1
PSRM,2018,streg,1
PSRM,2018,xtivreg2,1
PSRM,2018,xtlogit,1
PSRM,2018,xtreg,2
PSRM,2019,ivreg2,1
PSRM,2019,logit,4
PSRM,2019,rdrobust,1
PSRM,2019,regress,5
PSRM,2019,relogit,1
PSRM,2019,tobit,1
PSRM,2019,xtreg,1
ajps,2014,cgmreg,1
ajps,2014,oprobit,1
ajps,2014,regress,2
ajps,2014,svy:regress,1
ajps,2014,xtmixed,1
ajps,2014,xtreg,1
ajps,2015,DCdensity,1
ajps,2015,anova,2
ajps,2015,areg,7
ajps,2015,biprobit,3
ajps,2015,bootstrap:cmp,1
ajps,2015,bootstrap:ivregress,1
ajps,2015,bootstrap:regress,1
ajps,2015,btscs,1
ajps,2015,clogit,1
ajps,2015,cmp,2
ajps,2015,countfit,1
ajps,2015,edvreg,1
ajps,2015,eivreg,2
