year,command,count
2015,mark,1
2015,markout,1
2015,misschk,1
2015,plotfds,1
2015,lroc,1
2015,roctab,1
2015,edit,1
2015,end,1
2015,tokenize,1
2015,sleep,1
2015,append,1
2015,erase,1
2015,test,1
2015,decode,1
2015,usespss,1
2015,corrtex,1
2015,sutex,1
2018,tobit,1
2018,areg,1
2018,assert,1
2018,order,1
2018,duplicates,1
2018,revrs,1
2018,pca,1
2018,vif,1
2018,findit,1
2018,pscore,1
2018,mprobit,1
2018,sem,1
2018,scree,1
2018,edit,1
2018,mean,1
2018,sutex,1
2018,tw,1
2018,import,1
2018,metan,1
2018,end,1
2018,BalanceTests,1
2018,outtable,1
2018,compress,1
2018,macro,1
2018,version,1
2018,clonevar,1
2018,exit,1
2019,net,1
2019,rdrobust,1
2019,DCdensity,1
2019,Replication,1
2019,Authors,1
2019,append,1
2019,fillin,1
2019,forvalues,1
2019,estimates:clear,1
2019,pwcorr,1
2019,spineplot,1
2019,vioplot,1
2019,estpost,1
2019,histogram,1
2019,roccomp,1
2016,confirm,1
2016,seqlogit,1
2016,coefplot,1
2016,xtdescribe,1
2016,xtsum,1
2016,mkdir,1
2016,in,1
2016,eret2,1
2016,xi,1
2016,rivtestRAJ,1
2016,mlabels,1
2016,graph2tex,1
2016,ipolate,1
2016,This,1
2016,It,1
2016,The,1
2016,duplicates,1
2016,destring,1
2016,polychoric,1
2016,factormat,1
2016,ttest,1
2016,orthog,1
2016,sutex,1
2016,args,1
2016,converse,1
2016,insheet,1
2016,syntax,1
2016,center,1
2016,factor,1
2016,tempname,1
2016,decode,1
2016,parmby,1
2016,dataout,1
2016,fillin,1
2016,scal,1
2016,dsconcat,1
2016,gsort,1
2016,postutil,1
2017,adopath,1
2017,copy,1
2017,xtmelogit2,1
2017,cells,1
2017,lpattern,1
2017,mkdir,1
2017,quietly,1
2017,mivif,1
2017,ssc,1
2017,describe,1
2017,joinby,1
2017,xtile,1
2017,grc1leg,1
2017,rddensity,1
2017,snapspan,1
2017,args,1
2017,mlogtest,1
2017,male,1
2017,method,1
2017,age,1
2017,data,1
2017,sutex2,1
2017,estimates:tabulate,1
2017,cdsimeq,1
2017,estimates:res,1
2017,insheet,1
