file,#,# reg
ajps/W2HZSO/Flavin_Hartney_AJPS_replication_school_board_elections.do,144,19
ajps/WTURMZ/Replication do-file.do,318,16
ajps/27662/Replication Code Manuscript and SI.do,105,3
ajps/UQAIZI/AJPS Replication.do,288,31
"ajps/26584/Supplemental code for models reported in Tables 1,2, and 3.do",103,4
ajps/26584/Original code for model reported in Table 2.do,2,0
ajps/18964/individual_religious_participation.do,74,7
ajps/18964/economic_conservatism_figure.do,302,2
ajps/18964/economic_conservatism.do,64,2
ajps/24975/political reinforcement replication.do,63,34
ajps/S9MIJU/appendix C replication.do,33,11
ajps/OCUJ2F/AEW_Table S2_Economic Analyses_run after Table 3 and Table 2.do,29,9
ajps/OCUJ2F/AEW_2_Figure 1_run after Table 3 and Table 2.do,55,2
ajps/OCUJ2F/AEW_Table S4_Party Supporter Perceptions.do,9,1
ajps/OCUJ2F/AEW_Table S5_Independent Voters.do,9,1
ajps/OCUJ2F/AEW_1_Table 3 and Table 2.do,29,1
ajps/OCUJ2F/AEW_3_Table 4.do,10,0
ajps/OCUJ2F/AEW_Table S1_Omitting Lag.do,13,3
ajps/OCUJ2F/AEW_Table S3_EIV.do,9,3
ajps/UMIBSL/replicate5_supporting_info.do,99,34
ajps/UMIBSL/replicate1_tables.do,87,23
ajps/UMIBSL/replicate2_prepare_figures.do,80,4
ajps/PGCVDP/How_Do_Interest_Groups_Seek_Access_to_Committees.do,824,1
ajps/28856/Fig2.do,197,0
ajps/28856/Fig7.do,107,0
ajps/28856/Fig4.do,109,0
ajps/28856/Fig8.do,107,0
ajps/28856/Fig5.do,107,0
ajps/28856/Fig3.do,103,0
ajps/28856/Fig6.do,107,0
ajps/28856/Fig9.do,107,0
ajps/18583/AJPS replication do file.do,46,0
ajps/VEPHLS/4. Lupu_Peisakhin_Crimea_analysis.do,545,201
ajps/23851/2008 ANES analysis AJPS final.do,14,4
ajps/23851/AJPS NES CUM FILE ANALYSIS FINAL.do,5,0
ajps/23851/ANES 08-10 PANEL AJPS FINAL.do,4,2
ajps/21815/LNS_Marches_AJPS_Replication_do.do,321,10
ajps/YZQTAH/Broockman_Butler_OpinionLeadership.do,490,49
ajps/ZSYWHO/analysis.do,150,52
ajps/27063/AJPS2014ReplicationFiles/AJPS2014ReplicationFiles/Hinkle.replicate.models.do,104,15
ajps/DTFR60/Barber_Canes_Wrone_Thrower_AJPS_Replication_Supplemental.do,98,1
ajps/DTFR60/Barber_Canes_Wrone_Thrower_AJPS_Replication.do,56,2
ajps/24800/prg_graph_heat_fd.do,46,0
ajps/24800/prg_graph_heat_pp.do,38,0
ajps/24800/LandaDuell_replicationFile_mainFiguresTablesOnly.do,347,19
ajps/24800/LandaDuell_replicationFile_full.do,1882,28
ajps/INXGMT/2009ViolationsShaping.do,9,0
ajps/INXGMT/2009 EnforcementShaping.do,9,0
ajps/INXGMT/CAA Data Setup.do,530,0
ajps/21396/sefw_replication/sefw_replication/replication code.do,372,12
ajps/29242/bolton_thrower_ajps_code.do,15,0
ajps/PLLBQJ/Replication_Main.do,32,0
ajps/PLLBQJ/Final_Supplemental.do,431,5
ajps/PLLBQJ/MergeFIle.do,253,1
